"date","close","volume","open","high","low"
"16:00","121.16","3,556,333","122.65","122.88","121"
"2018/12/11","120.8900","4806171.0000","123.2500","123.8100","120.0000"
"2018/12/10","121.1300","6545975.0000","119.7400","121.6822","118.5200"
"2018/12/07","119.3400","6946644.0000","123.9000","124.0500","118.8700"
"2018/12/06","123.9100","6917204.0000","119.7200","123.9100","119.3010"
"2018/12/04","121.6000","5732774.0000","124.4900","124.9200","121.3300"
"2018/12/03","125.3100","5764562.0000","125.6700","126.5900","124.3600"
"2018/11/30","124.2700","7250091.0000","121.6600","124.6900","121.4800"
"2018/11/29","121.4800","5083509.0000","122.4400","123.1208","121.4000"
"2018/11/28","123.0000","5103750.0000","121.0100","123.0900","120.2200"
"2018/11/27","120.0300","4902206.0000","118.3800","120.0400","118.3700"
"2018/11/26","119.5600","4983724.0000","118.3700","120.2500","118.0600"
"2018/11/23","117.1900","2334730.0000","118.0900","118.3382","116.9100"
"2018/11/21","118.5700","5333589.0000","117.6100","119.5100","117.3900"
"2018/11/20","117.2000","6232010.0000","118.4900","119.4900","116.6955"
"2018/11/19","120.3100","4129149.0000","121.6300","122.1800","119.7700"
"2018/11/16","121.5700","4076283.0000","120.8900","121.8500","120.5405"
"2018/11/15","121.4400","5203470.0000","119.6600","121.4400","119.5100"
"2018/11/14","120.2000","4753027.0000","121.1100","121.9300","119.7700"
"2018/11/13","120.8400","4058494.0000","121.1900","122.2505","119.9000"
"2018/11/12","120.9000","5374419.0000","123.5000","123.5700","120.6500"
"2018/11/09","123.5400","6961728.0000","123.6100","124.5700","121.9600"
"2018/11/08","123.3800","10392940.0000","122.6600","124.4040","122.6300"
"2018/11/07","124.8400","12371100.0000","123.7900","125.0600","122.3300"
"2018/11/06","123.1200","9593084.0000","120.7000","123.8100","120.3100"
"2018/11/05","120.0600","9127909.0000","116.1000","120.7700","116.0000"
"2018/11/02","115.6700","10507760.0000","117.5100","117.7500","114.5384"
"2018/11/01","116.8300","13619520.0000","115.5000","117.0000","115.1100"
"2018/10/31","115.4300","21631840.0000","116.4900","116.5000","114.0900"
"2018/10/30","115.4000","21412910.0000","120.4800","121.5000","115.1500"
"2018/10/29","119.6400","20130510.0000","119.3400","123.9500","118.3000"
"2018/10/26","124.7900","8758967.0000","125.2100","125.7800","123.7100"
"2018/10/25","126.4500","10269570.0000","127.2500","127.7900","125.1400"
"2018/10/24","127.2100","5646273.0000","131.1700","131.6900","127.0000"
"2018/10/23","131.2100","6461726.0000","129.0200","131.9000","128.4100"
"2018/10/22","130.0200","5629672.0000","129.5800","130.4379","128.4000"
